Timestamp,Frame_Number,Emotion
2024-12-17 16:01:26,871,disgust
2024-12-17 16:01:27,881,disgust
2024-12-17 16:01:27,891,anger
2024-12-17 16:01:28,901,disgust
2024-12-17 16:01:29,911,disgust
2024-12-17 16:01:29,921,anger
2024-12-17 16:01:30,931,anger
2024-12-17 16:01:30,941,disgust
2024-12-17 16:01:31,951,disgust
2024-12-17 16:01:31,961,disgust
2024-12-17 16:01:32,971,disgust
2024-12-17 16:01:32,981,disgust
2024-12-17 16:01:33,991,anger
2024-12-17 16:01:33,1001,disgust
2024-12-17 16:01:34,1011,anger
2024-12-17 16:01:34,1021,anger
2024-12-17 16:01:35,1031,anger
2024-12-17 16:01:35,1041,anger
2024-12-17 16:01:36,1051,disgust
2024-12-17 16:01:36,1061,disgust
2024-12-17 16:01:37,1071,disgust
2024-12-17 16:01:38,1081,disgust
2024-12-17 16:01:38,1091,disgust
2024-12-17 16:01:38,1101,anger
2024-12-17 16:01:39,1121,disgust
2024-12-17 16:01:40,1131,anger
2024-12-17 16:01:41,1141,anger
2024-12-17 16:01:41,1161,anger
2024-12-17 16:01:42,1171,disgust
2024-12-17 16:01:42,1181,anger
2024-12-17 16:01:43,1191,anger
2024-12-17 16:01:44,1201,anger
2024-12-17 16:01:44,1211,anger
2024-12-17 16:01:45,1221,anger
2024-12-17 16:01:45,1231,anger
2024-12-17 16:01:46,1241,disgust
2024-12-17 16:01:47,1281,anger
2024-12-17 16:01:48,1301,disgust
2024-12-17 16:01:49,1341,anger
2024-12-17 16:01:49,1351,disgust
2024-12-17 16:01:50,1361,disgust
2024-12-17 16:01:50,1371,disgust
2024-12-17 16:01:51,1381,disgust
2024-12-17 16:01:51,1391,disgust
2024-12-17 16:01:52,1401,disgust
2024-12-17 16:01:52,1411,disgust
2024-12-17 16:01:53,1421,disgust
2024-12-17 16:01:53,1431,disgust
2024-12-17 16:01:54,1441,disgust
2024-12-17 16:01:54,1451,disgust
2024-12-17 16:01:55,1461,happy
2024-12-17 16:01:55,1471,disgust
2024-12-17 16:01:55,1481,disgust
2024-12-17 16:01:56,1501,disgust
2024-12-17 16:01:57,1511,disgust
2024-12-17 16:01:57,1511,surprise
2024-12-17 16:01:58,1521,disgust
2024-12-17 16:01:59,1531,disgust
2024-12-17 16:02:00,1591,happy
2024-12-17 16:02:01,1601,surprise
2024-12-17 16:02:01,1621,disgust
2024-12-17 16:02:02,1631,anger
2024-12-17 16:02:03,1661,disgust
2024-12-17 16:02:04,1691,anger
2024-12-17 16:02:05,1701,disgust
2024-12-17 16:02:05,1711,anger
2024-12-17 16:02:07,1741,disgust
2024-12-17 16:02:07,1751,disgust
2024-12-17 16:02:07,1761,disgust
2024-12-17 16:02:08,1771,disgust
2024-12-17 16:02:08,1781,disgust
2024-12-17 16:02:10,1841,anger
2024-12-17 16:02:11,1851,anger
2024-12-17 16:02:12,1871,disgust
2024-12-17 16:02:12,1881,anger
2024-12-17 16:02:14,1911,disgust
2024-12-17 16:02:14,1921,anger
2024-12-17 16:02:15,1931,anger
2024-12-17 16:02:15,1941,anger
2024-12-17 16:02:16,1951,disgust
2024-12-17 16:02:16,1961,disgust
2024-12-17 16:02:17,1971,anger
2024-12-17 16:02:17,1981,happy
2024-12-17 16:02:18,2001,fear
2024-12-17 16:02:18,2011,surprise
2024-12-17 16:02:19,2031,disgust
2024-12-17 16:02:19,2041,anger
2024-12-17 16:02:20,2051,happy
2024-12-17 16:02:20,2061,disgust
2024-12-17 16:02:21,2071,anger
2024-12-17 16:02:22,2101,disgust
2024-12-17 16:02:22,2111,happy
2024-12-17 16:02:22,2111,anger
2024-12-17 16:02:23,2121,contempt
2024-12-17 16:02:24,2171,anger
2024-12-17 16:02:25,2191,anger
2024-12-17 16:02:25,2201,anger
2024-12-17 16:02:26,2231,anger
2024-12-17 16:02:27,2241,disgust
2024-12-17 16:02:27,2251,fear
2024-12-17 16:02:30,2331,disgust
2024-12-17 16:02:30,2341,disgust
2024-12-17 16:02:31,2351,disgust
2024-12-17 16:02:31,2361,anger
2024-12-17 16:02:32,2371,disgust
2024-12-17 16:02:32,2381,disgust
2024-12-17 16:02:33,2391,anger
2024-12-17 16:02:33,2401,anger
2024-12-17 16:02:34,2411,anger
2024-12-17 16:02:34,2421,anger
2024-12-17 16:02:35,2431,disgust
2024-12-17 16:02:35,2441,disgust
2024-12-17 16:02:36,2451,disgust
